Spot_Price,STRIKE,DTE,DTB3,C_IV,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,C_BID,C_ASK,QUOTE_DATE,EXPIRE_DATE,BS_Call_Price,Percentage_Change
3852.969970703125,4030.0,7.0,4.41,0.16113,0.02895,0.00071,0.37475,-0.35366,0.02381,0.65,0.95,1.05,2023-01-04, 2023-01-11,0.7971418115516258,-31.578947368421044
3852.969970703125,4035.0,7.0,4.41,0.16116,0.02532,0.00064,0.34024,-0.3189,0.02086,1.64,0.8,0.95,2023-01-04, 2023-01-11,0.6880310147847553,104.99999999999999
3852.969970703125,4040.0,7.0,4.41,0.16019,0.02283,0.00065,0.30414,-0.282,0.01794,1.68,0.7,0.8,2023-01-04, 2023-01-11,0.5680900001703577,140.0
3852.969970703125,4045.0,7.0,4.41,0.16085,0.01998,0.00049,0.27281,-0.2505,0.01571,1.5,0.6,0.7,2023-01-04, 2023-01-11,0.5009871111226261,150.0
3852.969970703125,4050.0,7.0,4.41,0.16218,0.01874,0.00047,0.25509,-0.23552,0.01479,1.3,0.55,0.65,2023-01-04, 2023-01-11,0.4549207170245921,136.36363636363635
3852.969970703125,4055.0,7.0,4.41,0.16283,0.01664,0.00042,0.23062,-0.2114,0.01349,0.63,0.45,0.6,2023-01-04, 2023-01-11,0.4008705987244525,40.0
3852.969970703125,4060.0,7.0,4.41,0.1621,0.01402,0.0004,0.20531,-0.18613,0.01145,1.0,0.4,0.5,2023-01-04, 2023-01-11,0.330860132044485,149.99999999999997
3852.969970703125,4065.0,7.0,4.41,0.16321,0.01235,0.00037,0.18621,-0.16925,0.01052,1.5,0.35,0.45,2023-01-04, 2023-01-11,0.2973489957194815,328.57142857142856
3852.969970703125,4070.0,7.0,4.41,0.16367,0.01074,0.00034,0.16742,-0.15161,0.00868,7.82,0.3,0.4,2023-01-04, 2023-01-11,0.2588948223966199,2506.666666666667
3852.969970703125,4075.0,7.0,4.41,0.16492,0.0104,0.00033,0.15725,-0.14277,0.00849,0.75,0.25,0.4,2023-01-04, 2023-01-11,0.2344111576276297,200.0
3852.969970703125,4080.0,7.0,4.41,0.16669,0.00936,0.0003,0.14675,-0.13283,0.00769,0.4,0.25,0.35,2023-01-04, 2023-01-11,0.2180896867580308,60.00000000000001
3852.969970703125,4090.0,7.0,4.41,0.1692,0.00795,0.00025,0.12533,-0.11459,0.00686,0.25,0.2,0.3,2023-01-04, 2023-01-11,0.1796455784452284,24.999999999999993
3852.969970703125,4100.0,7.0,4.41,0.17038,0.00641,0.00019,0.10461,-0.09439,0.00515,0.1,0.15,0.25,2023-01-04, 2023-01-11,0.1381497698272618,-33.33333333333333
3852.969970703125,4110.0,7.0,4.41,0.17047,0.00506,0.00017,0.0828,-0.07391,0.00411,5.0,0.1,0.2,2023-01-04, 2023-01-11,0.0996437233251263,4900.0
3852.969970703125,4125.0,7.0,4.41,0.17583,0.00439,9e-05,0.06915,-0.06354,0.00337,0.36,0.1,0.15,2023-01-04, 2023-01-11,0.0824580378936516,260.0
3852.969970703125,4150.0,7.0,4.41,0.18578,0.00361,4e-05,0.05528,-0.05253,0.00233,0.11,0.05,0.15,2023-01-04, 2023-01-11,0.0652762109783005,120.0
3852.969970703125,4200.0,7.0,4.41,0.19889,0.00178,5e-05,0.02895,-0.02867,0.001,0.07,0.0,0.1,2023-01-04, 2023-01-11,0.0295558509915365,inf
3852.969970703125,4300.0,7.0,4.41,0.24765,0.00149,6e-05,0.02473,-0.0292,0.00125,0.07,0.0,0.1,2023-01-04, 2023-01-11,0.0282399145867948,inf
