Spot_Price,STRIKE,DTE,DTB3,C_IV,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,C_BID,C_ASK,QUOTE_DATE,EXPIRE_DATE,BS_Call_Price,Percentage_Change
3808.100098,3815,7,4.51,0.24409,0.49876,0.00294,2.21007,-3.84728,0.39085,54.84,51.9,53,1/5/2023, 2023-01-12,49.59473021,5.664739884
3808.100098,3820,7,4.51,0.24342,0.48306,0.00291,2.20846,-3.83568,0.37927,52.3,49.8,50.3,1/5/2023, 2023-01-12,47.084051,5.020080321
3808.100098,3825,7,4.51,0.24328,0.46897,0.0029,2.20293,-3.81285,0.36779,48.42,47.5,47.8,1/5/2023, 2023-01-12,44.76208858,1.936842105
3808.100098,3830,7,4.51,0.24294,0.4545,0.00299,2.19525,-3.78342,0.35664,53.9,45.1,45.5,1/5/2023, 2023-01-12,42.47533261,19.51219512
3808.100098,3835,7,4.51,0.24239,0.43897,0.00289,2.18438,-3.75442,0.34537,63.8,42.9,43.3,1/5/2023, 2023-01-12,40.22203604,48.71794872
3808.100098,3840,7,4.51,0.24199,0.42452,0.00288,2.17021,-3.71491,0.33335,40.5,40.7,41.1,1/5/2023, 2023-01-12,38.07697815,-0.491400491
3808.100098,3845,7,4.51,0.24115,0.40979,0.00291,2.15318,-3.66933,0.3221,66.12,38.5,39,1/5/2023, 2023-01-12,35.91866469,71.74025974
3808.100098,3850,7,4.51,0.24138,0.39548,0.00289,2.13354,-3.62006,0.31076,39.4,36.5,36.9,1/5/2023, 2023-01-12,34.054426,7.945205479
3808.100098,3855,7,4.51,0.24024,0.38094,0.00285,2.11146,-3.56879,0.29974,40.33,34.6,34.9,1/5/2023, 2023-01-12,31.98929477,16.56069364
3808.100098,3860,7,4.51,0.23992,0.36615,0.00278,2.08587,-3.50669,0.28829,34.65,32.6,33,1/5/2023, 2023-01-12,30.16428084,6.288343558
3808.100098,3865,7,4.51,0.23927,0.35255,0.0028,2.05693,-3.44712,0.27748,32.32,30.8,31.2,1/5/2023, 2023-01-12,28.34887392,4.935064935
3808.100098,3870,7,4.51,0.23897,0.33819,0.00279,2.02568,-3.37391,0.26658,35.4,29,29.3,1/5/2023, 2023-01-12,26.67489005,22.06896552
3808.100098,3875,7,4.51,0.24064,0.32665,0.00266,1.997,-3.34479,0.25696,31.16,27.8,28.1,1/5/2023, 2023-01-12,25.4413127,12.08633094
3808.100098,3880,7,4.51,0.23727,0.3103,0.00267,1.9558,-3.22583,0.24515,29.9,25.6,26,1/5/2023, 2023-01-12,23.33832752,16.796875
3808.100098,3885,7,4.51,0.23729,0.29649,0.00267,1.91718,-3.14415,0.23374,27.5,24,24.4,1/5/2023, 2023-01-12,21.936529,14.58333333
3808.100098,3890,7,4.51,0.23672,0.28343,0.00255,1.87696,-3.06062,0.2233,23.09,22.5,22.9,1/5/2023, 2023-01-12,20.496486,2.622222222
3808.100098,3895,7,4.51,0.23537,0.2701,0.00255,1.8336,-2.97443,0.21393,24.2,21.1,21.4,1/5/2023, 2023-01-12,18.99197837,14.69194313
3808.100098,3900,7,4.51,0.23575,0.25824,0.00252,1.79075,-2.89875,0.20403,25.1,19.8,20.2,1/5/2023, 2023-01-12,17.84883338,26.76767677
3808.100098,3905,7,4.51,0.23562,0.24588,0.00247,1.74469,-2.80912,0.19415,38.65,18.5,18.9,1/5/2023, 2023-01-12,16.68029789,108.9189189
3808.100098,3910,7,4.51,0.233,0.232,0.00241,1.69201,-2.69526,0.18391,18.95,17.1,17.4,1/5/2023, 2023-01-12,15.18243783,10.81871345
3808.100098,3915,7,4.51,0.23482,0.22247,0.00224,1.65141,-2.63821,0.17603,20.3,16.2,16.6,1/5/2023, 2023-01-12,14.43881693,25.30864198
